Feature,Importance
tcp.srcport,13467
tcp.options,12777
tcp.dstport,8849
tcp.ack,7849
tcp.ack_raw,6417
tcp.checksum,6109
tcp.seq,4226
http.request.method,2213
tcp.len,2181
udp.stream,2009
icmp.seq_le,1716
tcp.payload,1541
tcp.flags,1310
dns.qry.name.len,1205
http.referer,1165
tcp.connection.rst,1129
icmp.checksum,1099
dns.qry.name,820
http.request.version,668
tcp.connection.syn,433
tcp.connection.fin,307
mqtt.conack.flags,260
tcp.connection.synack,215
mqtt.protoname,192
udp.port,139
mqtt.topic,60
tcp.flags.ack,43
http.response,40
mqtt.len,26
mqtt.conflag.cleansess,19
udp.time_delta,19
http.content_length,14
dns.qry.qu,12
mqtt.hdrflags,6
mqtt.msgtype,1
mqtt.conflags,1
http.tls_port,0
arp.opcode,0
arp.hw.size,0
icmp.unused,0
dns.retransmit_request,0
dns.qry.type,0
dns.retransmission,0
mqtt.msg_decoded_as,0
dns.retransmit_request_in,0
mqtt.proto_len,0
mqtt.topic_len,0
mqtt.ver,0
mbtcp.len,0
mbtcp.trans_id,0
mbtcp.unit_id,0
